  HR|  constell|RAh|RAm| RAs|DE-|DEd|DEm|DEs| Vmag|  Sp|       vernacular|
4471| 91Ups Leo| 11| 36|56.9|  -| 00| 49| 26| 4.30|  G8|                 |
4494|   Omi Hya| 11| 40|12.8|  -| 34| 44| 41| 4.70|  B9|                 |
4499|          | 11| 40|53.6|  -| 62| 05| 24| 4.94|  G3|                 |
4514| 27Zet Crt| 11| 44|45.8|  -| 18| 21| 03| 4.73|  G8|                 |
4515|  2Xi  Vir| 11| 45|17.1|  +| 08| 15| 30| 4.85|  A4|                 |
4517|  3Nu  Vir| 11| 45|51.6|  +| 06| 31| 46| 4.03|  M1|                 |
4518| 63Chi UMa| 11| 46|03.0|  +| 47| 46| 46| 3.71|  K0|      Taiyangshou|
4520|   Lam Mus| 11| 45|36.4|  -| 66| 43| 43| 3.64|  A7|                 |
4522|          | 11| 46|30.8|  -| 61| 10| 42| 4.11|  G5|                 |
4523|          | 11| 46|31.1|  -| 40| 30| 02| 4.91|  G3|                 |
4527| 93    Leo| 11| 47|59.1|  +| 20| 13| 08| 4.53|  G5|                 |
4530|   Mu  Mus| 11| 48|14.3|  -| 66| 48| 53| 4.72|  K4|                 |
4534| 94Bet Leo| 11| 49|03.6|  +| 14| 34| 19| 2.14|  A3|         Denebola|
4537|          | 11| 49|41.1|  -| 63| 47| 18| 4.32|  B3|                 |
4538|          | 11| 49|56.6|  -| 70| 13| 33| 4.97|  G6|                 |
4540|  5Bet Vir| 11| 50|41.7|  +| 01| 45| 53| 3.61|  F9|         Zavijava|
4546|          | 11| 51|08.7|  -| 45| 10| 25| 4.46|  K3|                 |
4549|          | 11| 51|51.2|  -| 65| 12| 22| 4.90|  B4|                 |
4552|   Bet Hya| 11| 52|54.6|  -| 33| 54| 29| 4.28|  B9|                 |
4554| 64Gam UMa| 11| 53|49.8|  +| 53| 41| 41| 2.44|  A0|           Phecda|
4583|   Eps Cha| 11| 59|37.3|  -| 78| 13| 19| 4.91|  B9|                 |
4589|  8Pi  Vir| 12| 00|52.4|  +| 06| 36| 51| 4.66|  A5|                 |
4599|   The1Cru| 12| 03|01.5|  -| 63| 18| 46| 4.33|  Am|                 |
4603|   The2Cru| 12| 04|19.2|  -| 63| 09| 56| 4.72|  B2|                 |
4608|  9Omi Vir| 12| 05|12.5|  +| 08| 43| 59| 4.12|  G8|                 |
4616|   Eta Cru| 12| 06|52.9|  -| 64| 36| 49| 4.15|  F2|                 |
4618|          | 12| 08|05.2|  -| 50| 39| 41| 4.47|  B6|                 |
4621|   Del Cen| 12| 08|21.5|  -| 50| 43| 21| 2.60|  B2|                 |
4623|  1Alp Crv| 12| 08|24.8|  -| 24| 43| 44| 4.02|  F2|          Alchiba|
4630|  2Eps Crv| 12| 10|07.5|  -| 22| 37| 11| 3.00|  K2|                 |
4638|   Rho Cen| 12| 11|39.1|  -| 52| 22| 07| 3.96|  B3|                 |
4656|   Del Cru| 12| 15|08.7|  -| 58| 44| 56| 2.80|  B2|             Imai|
4660| 69Del UMa| 12| 15|25.6|  +| 57| 01| 57| 3.31|  A3|           Megrez|
4662|  4Gam Crv| 12| 15|48.4|  -| 17| 32| 31| 2.59|  B8|           Gienah|
4667|  7    Com| 12| 16|20.5|  +| 23| 56| 43| 4.95|  G8|                 |
4668|          | 12| 16|30.1|  +| 33| 03| 41| 5.00|  K0|                 |
4671|   Eps Mus| 12| 17|34.1|  -| 67| 57| 39| 4.11|  M5|                 |
4674|   Bet Cha| 12| 18|20.7|  -| 79| 18| 44| 4.26|  B5|                 |
4679|   Zet Cru| 12| 18|26.1|  -| 64| 00| 11| 4.04|  B2|                 |
4682|          | 12| 18|59.7|  -| 55| 08| 35| 5.00|  M1|                 |
4689| 15Eta Vir| 12| 19|54.4|  -| 00| 40| 01| 3.89|  A2|           Zaniah|
4695| 16    Vir| 12| 20|21.0|  +| 03| 18| 45| 4.96|  K0|                 |
4697| 11    Com| 12| 20|43.0|  +| 17| 47| 34| 4.74|  G8|                 |
4700|   Eps Cru| 12| 21|21.6|  -| 60| 24| 04| 3.59|  K3|            Ginan|
4707| 12    Com| 12| 22|30.3|  +| 25| 50| 46| 4.81|  G0|                 |
4716|  5    CVn| 12| 24|01.5|  +| 51| 33| 44| 4.80|  G6|                 |
4729|          | 12| 26|30.9|  -| 63| 07| 21| 4.86|  B4|                 |
4730|   Alp1Cru| 12| 26|35.9|  -| 63| 05| 57| 1.33|  B0|            Acrux|
4731|   Alp2Cru| 12| 26|36.5|  -| 63| 05| 58| 1.73|  B1|                 |
4732|          | 12| 26|31.6|  -| 51| 27| 03| 4.82|  B3|                 |
4733| 14    Com| 12| 26|24.1|  +| 27| 16| 06| 4.95|  F0|                 |
4737| 15Gam Com| 12| 26|56.3|  +| 28| 16| 06| 4.36|  K1|                 |
4738| 16    Com| 12| 26|59.3|  +| 26| 49| 32| 5.00|  A4|                 |
4743|   Sig Cen| 12| 28|02.4|  -| 50| 13| 50| 3.91|  B2|                 |
4757|  7Del Crv| 12| 29|51.9|  -| 16| 30| 56| 2.95|  B9|          Algorab|
4763|   Gam Cru| 12| 31|09.9|  -| 57| 06| 48| 1.63|  M3|           Gacrux|
4765|  4    Dra| 12| 30|06.7|  +| 69| 12| 04| 4.95|  M3|                 |
4773|   Gam Mus| 12| 32|28.0|  -| 72| 07| 59| 3.87|  B5|                 |
4775|  8Eta Crv| 12| 32|04.2|  -| 16| 11| 46| 4.31|  F2|                 |
4785|  8Bet CVn| 12| 33|44.5|  +| 41| 21| 27| 4.26|  G0|            Chara|
4786|  9Bet Crv| 12| 34|23.2|  -| 23| 23| 48| 2.65|  G5|             Kraz|
4787|  5Kap Dra| 12| 33|29.0|  +| 69| 47| 18| 3.87|  B6|                 |
4789| 23    Com| 12| 34|51.1|  +| 22| 37| 45| 4.81|  A0|                 |
4795|  6    Dra| 12| 34|44.0|  +| 70| 01| 19| 4.94|  K3|                 |
4798|   Alp Mus| 12| 37|11.0|  -| 69| 08| 08| 2.69|  B2|                 |
4802|   Tau Cen| 12| 37|42.2|  -| 48| 32| 28| 3.86|  A2|                 |
4813| 26Chi Vir| 12| 39|14.8|  -| 07| 59| 44| 4.66|  K2|                 |
4817|          | 12| 39|52.5|  -| 39| 59| 15| 4.64|  B8|                 |
4819|   Gam Cen| 12| 41|31.0|  -| 48| 57| 35| 2.17|  A1|                 |
4823|          | 12| 41|56.6|  -| 59| 41| 09| 4.93|  B6|                 |
4825| 29Gam Vir| 12| 41|39.6|  -| 01| 26| 58| 3.65|  F0|          Porrima|
4826| 29Gam Vir| 12| 41|39.6|  -| 01| 26| 58| 3.68|  F0|                 |
4828| 30Rho Vir| 12| 41|53.1|  +| 10| 14| 08| 4.88|  A0|                 |
4831|          | 12| 42|35.4|  -| 48| 48| 47| 4.66|  K0|                 |
4842|   Iot Cru| 12| 45|37.9|  -| 60| 58| 52| 4.69|  K0|                 |
4844|   Bet Mus| 12| 46|16.9|  -| 68| 06| 29| 3.05|  B2|                 |
4846|          | 12| 45|07.8|  +| 45| 26| 25| 4.99|  C7|       La_Superba|
4848|          | 12| 46|22.7|  -| 56| 29| 20| 4.65|  B3|                 |
4853|   Bet Cru| 12| 47|43.2|  -| 59| 41| 19| 1.25|  B0|           Mimosa|
4874|          | 12| 50|41.2|  -| 33| 59| 58| 4.91|  A0|                 |
4883| 31    Com| 12| 51|41.9|  +| 27| 32| 26| 4.94|  G0|                 |
4888|          | 12| 53|06.9|  -| 48| 56| 36| 4.33|  K3|                 |
4889|          | 12| 53|26.2|  -| 40| 10| 44| 4.27|  A7|                 |
4894| 35    Com| 12| 53|17.8|  +| 21| 14| 42| 4.90|  G8|                 |
4897|   Lam Cru| 12| 54|39.2|  -| 59| 08| 48| 4.62|  B4|                 |
4898|   Mu 1Cru| 12| 54|35.6|  -| 57| 10| 40| 4.03|  B2|                 |
4902| 40Psi Vir| 12| 54|21.2|  -| 09| 32| 20| 4.79|  M3|                 |
4905| 77Eps UMa| 12| 54|01.7|  +| 55| 57| 35| 1.77|  A0|           Alioth|
4910| 43Del Vir| 12| 55|36.2|  +| 03| 23| 51| 3.38|  M3|        Minelauva|
4915| 12Alp2CVn| 12| 56|01.7|  +| 38| 19| 06| 2.90|  A0|       Cor_Caroli|
4920| 36    Com| 12| 58|55.4|  +| 17| 24| 34| 4.78|  M1|                 |
4923|   Del Mus| 13| 02|16.2|  -| 71| 32| 56| 3.62|  K2|                 |
4924| 37    Com| 13| 00|16.5|  +| 30| 47| 06| 4.90|  G9|                 |
4931| 78    UMa| 13| 00|43.8|  +| 56| 21| 59| 4.93|  F2|                 |
4932| 47Eps Vir| 13| 02|10.6|  +| 10| 57| 33| 2.83|  G8|     Vindemiatrix|
4933|   Xi 1Cen| 13| 03|33.2|  -| 49| 31| 38| 4.85|  A0|                 |
4940|          | 13| 06|16.7|  -| 48| 27| 49| 4.71|  B5|                 |
4942|   Xi 2Cen| 13| 06|54.6|  -| 49| 54| 22| 4.27|  B1|                 |
4954| 41    Com| 13| 07|10.7|  +| 27| 37| 29| 4.80|  K5|                 |
4958| 45Psi Hya| 13| 09|03.3|  -| 23| 07| 05| 4.95|  K1|                 |
4963| 51The Vir| 13| 09|57.0|  -| 05| 32| 20| 4.38|  A1|                 |
4975|          | 13| 12|17.4|  -| 59| 55| 15| 4.60|  B8|                 |
4979|          | 13| 12|03.2|  -| 37| 48| 11| 4.85|  G3|                 |
4983| 43Bet Com| 13| 11|52.4|  +| 27| 52| 41| 4.26|  F9|                 |
4989|          | 13| 14|14.8|  -| 59| 06| 12| 4.92|  F7|                 |
4993|   Eta Mus| 13| 15|14.9|  -| 67| 53| 40| 4.80|  B8|                 |
4997|          | 13| 13|43.0|  +| 40| 09| 10| 4.92|  G8|                 |
5002|          | 13| 17|13.0|  -| 66| 47| 01| 4.87|  K2|                 |
5015| 60Sig Vir| 13| 17|36.3|  +| 05| 28| 11| 4.80|  M1|                 |
5017| 20    CVn| 13| 17|32.5|  +| 40| 34| 21| 4.73|  F3|                 |
5019| 61    Vir| 13| 18|24.3|  -| 18| 18| 41| 4.74|  G6|                 |
5020| 46Gam Hya| 13| 18|55.3|  -| 23| 10| 18| 3.00|  G8|                 |
5028|   Iot Cen| 13| 20|35.8|  -| 36| 42| 44| 2.75|  A2|                 |
5035|          | 13| 22|37.9|  -| 60| 59| 18| 4.53|  B3|                 |
5041|          | 13| 24|00.5|  -| 64| 32| 09| 4.53|  G6|                 |
5054| 79Zet UMa| 13| 23|55.5|  +| 54| 55| 31| 2.27|  A1|            Mizar|
5055| 79Zet UMa| 13| 23|56.4|  +| 54| 55| 18| 3.95|  A1|                 |
5056| 67Alp Vir| 13| 25|11.6|  -| 11| 09| 41| 0.98|  B1|            Spica|
5062| 80    UMa| 13| 25|13.5|  +| 54| 59| 17| 4.01|  A5|            Alcor|
5068| 69    Vir| 13| 27|27.2|  -| 15| 58| 25| 4.76|  K0|                 |
5072| 70    Vir| 13| 28|25.8|  +| 13| 46| 44| 4.98|  G4|                 |
5080|          | 13| 29|42.8|  -| 23| 16| 53| 4.97|  M7|                 |
5089|          | 13| 31|02.7|  -| 39| 24| 27| 3.88|  G9|                 |
5095| 74    Vir| 13| 31|57.9|  -| 06| 15| 21| 4.69|  M2|                 |
5105| 78    Vir| 13| 34|07.9|  +| 03| 39| 32| 4.94|  A1|                 |
5107| 79Zet Vir| 13| 34|41.6|  -| 00| 35| 45| 3.37|  A3|             Heze|
5110|          | 13| 34|47.8|  +| 37| 10| 57| 4.98|  F2|                 |
5112| 24    CVn| 13| 34|27.3|  +| 49| 00| 58| 4.70|  A5|                 |
5127| 25    CVn| 13| 37|27.6|  +| 36| 17| 42| 4.82|  A7|                 |
5132|   Eps Cen| 13| 39|53.2|  -| 53| 27| 59| 2.30|  B1|                 |
5154| 83    UMa| 13| 40|44.3|  +| 54| 40| 54| 4.66|  M2|                 |
5168|  1    Cen| 13| 45|41.2|  -| 33| 02| 38| 4.23|  F3|                 |
5172|          | 13| 46|39.3|  -| 51| 25| 58| 4.65|  G8|                 |
5185|  4Tau Boo| 13| 47|15.7|  +| 17| 27| 24| 4.50|  F6|                 |
5190|   Nu  Cen| 13| 49|30.3|  -| 41| 41| 16| 3.41|  B2|                 |
5191| 85Eta UMa| 13| 47|32.4|  +| 49| 18| 48| 1.86|  B3|           Alkaid|
5192|  2    Cen| 13| 49|26.7|  -| 34| 27| 03| 4.19|  M4|                 |
5193|   Mu  Cen| 13| 49|37.0|  -| 42| 28| 26| 3.04|  B2|                 |
5196| 89    Vir| 13| 49|52.3|  -| 18| 08| 03| 4.97|  K0|                 |
5200|  5Ups Boo| 13| 49|28.6|  +| 15| 47| 52| 4.07|  K5|                 |
5201|  6    Boo| 13| 49|42.8|  +| 21| 15| 51| 4.91|  K4|                 |
5210|  3    Cen| 13| 51|49.6|  -| 32| 59| 40| 4.56|  B5|                 |
5219|          | 13| 51|47.5|  +| 34| 26| 39| 4.74|  K5|                 |
5221|  4    Cen| 13| 53|12.5|  -| 31| 55| 40| 4.73|  B4|                 |
5226| 10    Dra| 13| 51|25.9|  +| 64| 43| 24| 4.65|  M3|                 |
5231|   Zet Cen| 13| 55|32.4|  -| 47| 17| 18| 2.55|  B2|                 |
5235|  8Eta Boo| 13| 54|41.1|  +| 18| 23| 52| 2.68|  G0|          Muphrid|
5241|          | 13| 57|38.9|  -| 63| 41| 12| 4.71|  K1|                 |
5248|   Phi Cen| 13| 58|16.3|  -| 42| 06| 03| 3.83|  B2|                 |
5249|   Ups1Cen| 13| 58|40.8|  -| 44| 48| 13| 3.87|  B2|                 |
5260|   Ups2Cen| 14| 01|43.4|  -| 45| 36| 13| 4.34|  F6|                 |
5264| 93Tau Vir| 14| 01|38.8|  +| 01| 32| 40| 4.26|  A3|                 |
5267|   Bet Cen| 14| 03|49.4|  -| 60| 22| 23| 0.61|  B1|            Hadar|
5285|   Chi Cen| 14| 06|02.8|  -| 41| 10| 47| 4.36|  B2|                 |
5287| 49Pi  Hya| 14| 06|22.3|  -| 26| 40| 57| 3.27|  K2|                 |
5288|  5The Cen| 14| 06|41.0|  -| 36| 22| 12| 2.06|  K0|          Menkent|
5291| 11Alp Dra| 14| 04|23.3|  +| 64| 22| 33| 3.65|  A0|           Thuban|
5297|          | 14| 09|54.8|  -| 53| 26| 21| 4.75|  G9|                 |
5301|          | 14| 10|50.5|  -| 16| 18| 07| 4.91|  M2|                 |
5303|   Eta Aps| 14| 18|13.8|  -| 81| 00| 28| 4.91|  A2|                 |
5304| 12    Boo| 14| 10|23.9|  +| 25| 05| 30| 4.83|  F9|                 |
5315| 98Kap Vir| 14| 12|53.8|  -| 10| 16| 25| 4.19|  K2|             Kang|
5321|  4    UMi| 14| 08|50.9|  +| 77| 32| 51| 4.82|  K3|                 |
5329| 17Kap2Boo| 14| 13|29.0|  +| 51| 47| 25| 4.54|  A8|                 |
5338| 99Iot Vir| 14| 16|00.9|  -| 06| 00| 02| 4.08|  F6|            Syrma|
5339|   Del Oct| 14| 26|54.9|  -| 83| 40| 04| 4.32|  K2|                 |
5340| 16Alp Boo| 14| 15|39.7|  +| 19| 10| 57|-0.04|  K1|         Arcturus|
5350| 21Iot Boo| 14| 16|09.9|  +| 51| 22| 02| 4.75|  A9|                 |
5351| 19Lam Boo| 14| 16|23.0|  +| 46| 05| 18| 4.18|  A0|           Xuange|
5354|   Iot Lup| 14| 19|24.2|  -| 46| 03| 28| 3.55|  B2|                 |
5358|          | 14| 20|19.5|  -| 56| 23| 12| 4.33|  B6|                 |
5359|100Lam Vir| 14| 19|06.6|  -| 13| 22| 16| 4.52|  A2|        Khambalia|
5361|          | 14| 17|59.8|  +| 35| 30| 34| 4.81|  K0|                 |
5364|          | 14| 20|42.5|  -| 45| 11| 14| 4.77|  F0|                 |
5367|   Psi Cen| 14| 20|33.4|  -| 37| 53| 07| 4.05|  A0|                 |
5370| 20    Boo| 14| 19|45.2|  +| 16| 18| 25| 4.86|  K3|                 |
5371|          | 14| 22|37.0|  -| 58| 27| 34| 4.92|  G8|                 |
5378|          | 14| 23|02.2|  -| 39| 30| 44| 4.42|  B7|                 |
5381| 51    Hya| 14| 23|05.8|  -| 27| 45| 14| 4.77|  K4|                 |
5395|   Tau1Lup| 14| 26|08.2|  -| 45| 13| 17| 4.56|  B2|                 |
5396|   Tau2Lup| 14| 26|10.8|  -| 45| 22| 46| 4.35|  F4|                 |
5404| 23The Boo| 14| 25|11.8|  +| 51| 51| 03| 4.05|  F7|                 |
5407| 52    Hya| 14| 28|10.4|  -| 29| 29| 30| 4.97|  B8|                 |
5409|105Phi Vir| 14| 28|12.1|  -| 02| 13| 41| 4.81|  G2|          Elgafar|
5425|   Sig Lup| 14| 32|36.9|  -| 50| 27| 25| 4.42|  B2|                 |
5429| 25Rho Boo| 14| 31|49.8|  +| 30| 22| 17| 3.58|  K3|                 |
5430|  5    UMi| 14| 27|31.5|  +| 75| 41| 46| 4.25|  K4|                 |
5435| 27Gam Boo| 14| 32|04.7|  +| 38| 18| 30| 3.03|  A7|          Seginus|
5440|   Eta Cen| 14| 35|30.4|  -| 42| 09| 28| 2.31|  B1|                 |
5447| 28Sig Boo| 14| 34|40.8|  +| 29| 44| 42| 4.46|  F2|                 |
5453|   Rho Lup| 14| 37|53.2|  -| 49| 25| 33| 4.05|  B5|                 |
5459|   Alp1Cen| 14| 39|35.9|  -| 60| 50| 07|-0.01|  G2|  Rigil_Kentaurus|
