  HR|  constell|RAh|RAm| RAs|DE-|DEd|DEm|DEs| Vmag|  Sp|       vernacular|
6978| 45    Dra| 18| 32|34.5|  +| 57| 02| 44| 4.77|  F7|                 |
6982|   Zet Pav| 18| 43|02.1|  -| 71| 25| 41| 4.01|  K0|                 |
7001|  3Alp Lyr| 18| 36|56.3|  +| 38| 47| 01| 0.03|  A0|             Vega|
7012|          | 18| 45|26.9|  -| 64| 52| 17| 4.79|  A5|                 |
7020|   Del Sct| 18| 42|16.4|  -| 09| 03| 09| 4.72|  F2|                 |
7029|          | 18| 44|19.4|  -| 35| 38| 31| 4.87|  B2|                 |
7032|   Eps Sct| 18| 43|31.3|  -| 08| 16| 31| 4.90|  G8|                 |
7039| 27Phi Sgr| 18| 45|39.4|  -| 26| 59| 27| 3.17|  B8|                 |
7056|  6Zet1Lyr| 18| 44|46.4|  +| 37| 36| 18| 4.36|  A4|                 |
7061|110    Her| 18| 45|39.7|  +| 20| 32| 47| 4.19|  F6|                 |
7063|   Bet Sct| 18| 47|10.5|  -| 04| 44| 52| 4.22|  G4|                 |
7064|          | 18| 46|04.5|  +| 26| 39| 44| 4.83|  K3|                 |
7069|111    Her| 18| 47|01.3|  +| 18| 10| 53| 4.36|  A5|                 |
7074|   Lam Pav| 18| 52|13.0|  -| 62| 11| 15| 4.22|  B2|                 |
7106| 10Bet Lyr| 18| 50|04.8|  +| 33| 21| 46| 3.45|  B8|          Sheliak|
7107|   Kap Pav| 18| 56|57.0|  -| 67| 14| 01| 4.44|  F5|                 |
7116| 32Nu 1Sgr| 18| 54|10.2|  -| 22| 44| 42| 4.83|  K2|        Ainalrami|
7120| 35Nu 2Sgr| 18| 55|07.1|  -| 22| 40| 17| 4.99|  K3|                 |
7121| 34Sig Sgr| 18| 55|15.9|  -| 26| 17| 48| 2.02|  B2|            Nunki|
7125| 47Omi Dra| 18| 51|12.1|  +| 59| 23| 18| 4.66|  G9|                 |
7133|113    Her| 18| 54|44.9|  +| 22| 38| 42| 4.59|  G4|                 |
7134|   Lam Tel| 18| 58|27.7|  -| 52| 56| 19| 4.87|  A0|                 |
7137|          | 18| 53|13.6|  +| 50| 42| 30| 4.92|  G7|                 |
7139| 12Del2Lyr| 18| 54|30.2|  +| 36| 53| 56| 4.30|  M4|                 |
7141| 63The1Ser| 18| 56|13.2|  +| 04| 12| 13| 4.62|  A5|             Alya|
7142| 63The2Ser| 18| 56|14.6|  +| 04| 12| 07| 4.98|  A5|                 |
7149|   Eta Sct| 18| 57|03.7|  -| 05| 50| 46| 4.83|  K2|                 |
7150| 37Xi 2Sgr| 18| 57|43.8|  -| 21| 06| 24| 3.51|  K1|                 |
7152|   Eps CrA| 18| 58|43.4|  -| 37| 06| 27| 4.87|  F2|                 |
7157| 13    Lyr| 18| 55|20.1|  +| 43| 56| 46| 4.04|  M5|                 |
7176| 13Eps Aql| 18| 59|37.4|  +| 15| 04| 06| 4.02|  K1|                 |
7178| 14Gam Lyr| 18| 58|56.6|  +| 32| 41| 22| 3.24|  B9|          Sulafat|
7180| 52Ups Dra| 18| 54|23.9|  +| 71| 17| 50| 4.82|  K0|                 |
7188|   Zet CrA| 19| 03|06.9|  -| 42| 05| 43| 4.75|  B9|                 |
7192| 15Lam Lyr| 19| 00|00.9|  +| 32| 08| 44| 4.93|  K2|                 |
7193| 12    Aql| 19| 01|40.8|  -| 05| 44| 20| 4.02|  K1|                 |
7194| 38Zet Sgr| 19| 02|36.7|  -| 29| 52| 49| 2.60|  A2|          Ascella|
7217| 39Omi Sgr| 19| 04|41.0|  -| 21| 44| 30| 3.77|  G9|                 |
7226|   Gam CrA| 19| 06|25.1|  -| 37| 03| 48| 4.93|  F8|                 |
7227|   Gam CrA| 19| 06|25.1|  -| 37| 03| 48| 4.99|  F8|                 |
7234| 40Tau Sgr| 19| 06|56.4|  -| 27| 40| 14| 3.32|  K1|                 |
7235| 17Zet Aql| 19| 05|24.6|  +| 13| 51| 48| 2.99|  A0|             Okab|
7236| 16Lam Aql| 19| 06|14.9|  -| 04| 52| 57| 3.44|  B9|                 |
7242|   Del CrA| 19| 08|20.9|  -| 40| 29| 48| 4.59|  K1|                 |
7254|   Alp CrA| 19| 09|28.3|  -| 37| 54| 16| 4.11|  A2|        Meridiana|
7259|   Bet CrA| 19| 10|01.7|  -| 39| 20| 27| 4.11|  K0|                 |
7264| 41Pi  Sgr| 19| 09|45.8|  -| 21| 01| 25| 2.89|  F2|         Albaldah|
7292| 42Psi Sgr| 19| 15|32.4|  -| 25| 15| 24| 4.85|  G8|                 |
7298| 20Eta Lyr| 19| 13|45.5|  +| 39| 08| 46| 4.39|  B2|          Aladfar|
7304| 43    Sgr| 19| 17|38.1|  -| 18| 57| 11| 4.96|  G8|                 |
7306|  1    Vul| 19| 16|13.0|  +| 21| 23| 25| 4.77|  B4|                 |
7309| 54    Dra| 19| 13|55.2|  +| 57| 42| 18| 4.99|  K2|                 |
7310| 57Del Dra| 19| 12|33.3|  +| 67| 39| 42| 3.07|  G9|           Altais|
7314| 21The Lyr| 19| 16|22.1|  +| 38| 08| 01| 4.36|  K0|                 |
7328|  1Kap Cyg| 19| 17|06.2|  +| 53| 22| 07| 3.77|  G9|                 |
7337|   Bet1Sgr| 19| 22|38.3|  -| 44| 27| 32| 4.01|  B9|      Arkab_Prior|
7340| 44Rho1Sgr| 19| 21|40.4|  -| 17| 50| 50| 3.93|  F0|                 |
7342| 46Ups Sgr| 19| 21|43.6|  -| 15| 57| 18| 4.61|  B2|                 |
7343|   Bet2Sgr| 19| 23|13.2|  -| 44| 47| 59| 4.29|  F2|  Arkab_Posterior|
7348|   Alp Sgr| 19| 23|53.2|  -| 40| 36| 58| 3.97|  B8|           Rukbat|
7352| 60Tau Dra| 19| 15|33.0|  +| 73| 21| 20| 4.45|  K2|                 |
7371| 58Pi  Dra| 19| 20|40.1|  +| 65| 42| 53| 4.59|  A2|                 |
7372|  2    Cyg| 19| 24|07.6|  +| 29| 37| 17| 4.97|  B3|                 |
7377| 30Del Aql| 19| 25|29.9|  +| 03| 06| 53| 3.36|  F3|                 |
7387| 32Nu  Aql| 19| 26|31.1|  +| 00| 20| 19| 4.66|  F2|                 |
7405|  6Alp Vul| 19| 28|42.3|  +| 24| 39| 54| 4.44|  M0|            Anser|
7417|  6Bet1Cyg| 19| 30|43.3|  +| 27| 57| 35| 3.08|  K3|          Albireo|
7420| 10Iot2Cyg| 19| 29|42.3|  +| 51| 43| 47| 3.79|  A5|                 |
7424|   Iot Tel| 19| 35|13.0|  -| 48| 05| 57| 4.90|  K0|                 |
7426|  8    Cyg| 19| 31|46.3|  +| 34| 27| 11| 4.74|  B3|                 |
7429| 38Mu  Aql| 19| 34|05.4|  +| 07| 22| 44| 4.45|  K3|                 |
7437|  9    Vul| 19| 34|34.9|  +| 19| 46| 24| 5.00|  B8|                 |
7440| 52    Sgr| 19| 36|42.4|  -| 24| 53| 01| 4.60|  B9|                 |
7446| 39Kap Aql| 19| 36|53.5|  -| 07| 01| 39| 4.95|  B0|                 |
7447| 41Iot Aql| 19| 36|43.3|  -| 01| 17| 11| 4.36|  B5|                 |
7462| 61Sig Dra| 19| 32|21.6|  +| 69| 39| 40| 4.68|  K0|           Alsafi|
7469| 13The Cyg| 19| 36|26.5|  +| 50| 13| 16| 4.48|  F4|                 |
7478| 12Phi Cyg| 19| 39|22.6|  +| 30| 09| 12| 4.69|  G8|                 |
7479|  5Alp Sge| 19| 40|05.8|  +| 18| 00| 50| 4.37|  G1|             Sham|
7488|  6Bet Sge| 19| 41|02.9|  +| 17| 28| 34| 4.37|  G8|                 |
7515| 56    Sgr| 19| 46|21.7|  -| 19| 45| 40| 4.86|  K1|                 |
7517| 15    Cyg| 19| 44|16.6|  +| 37| 21| 16| 4.89|  G7|                 |
7525| 50Gam Aql| 19| 46|15.6|  +| 10| 36| 48| 2.72|  K3|          Tarazed|
7528| 18Del Cyg| 19| 44|58.5|  +| 45| 07| 51| 2.87|  B9|          Fawaris|
7534| 17    Cyg| 19| 46|25.6|  +| 33| 43| 40| 4.99|  F7|                 |
7536|  7Del Sge| 19| 47|23.3|  +| 18| 32| 03| 3.82|  M2|                 |
7546|  8Zet Sge| 19| 48|58.7|  +| 19| 08| 32| 5.00|  A3|                 |
7557| 53Alp Aql| 19| 50|47.0|  +| 08| 52| 06| 0.77|  A7|           Altair|
7564|   Chi Cyg| 19| 50|33.9|  +| 32| 54| 51| 4.23|  S6|                 |
7565| 12    Vul| 19| 51|04.1|  +| 22| 36| 36| 4.95|  B2|                 |
7570| 55Eta Aql| 19| 52|28.4|  +| 01| 00| 20| 3.90|  F6|                 |
7581|   Iot Sgr| 19| 55|15.7|  -| 41| 52| 06| 4.13|  K0|                 |
7582| 63Eps Dra| 19| 48|10.4|  +| 70| 16| 04| 3.83|  G7|                 |
7590|   Eps Pav| 20| 00|35.5|  -| 72| 54| 38| 3.96|  A0|                 |
7592| 13    Vul| 19| 53|27.7|  +| 24| 04| 47| 4.58|  B9|                 |
7595| 59Xi  Aql| 19| 54|14.9|  +| 08| 27| 41| 4.71|  G9|         Libertas|
7597| 58Ome Sgr| 19| 55|50.4|  -| 26| 17| 58| 4.70|  G5|       Terebellum|
7602| 60Bet Aql| 19| 55|18.8|  +| 06| 24| 24| 3.71|  G8|          Alshain|
7604| 59    Sgr| 19| 56|56.8|  -| 27| 10| 12| 4.52|  K2|                 |
7613| 22    Cyg| 19| 55|51.7|  +| 38| 29| 12| 4.94|  B5|                 |
7615| 21Eta Cyg| 19| 56|18.4|  +| 35| 05| 00| 3.89|  K0|                 |
7618| 60    Sgr| 19| 58|57.2|  -| 26| 11| 44| 4.83|  G6|                 |
7619| 24Psi Cyg| 19| 55|37.8|  +| 52| 26| 20| 4.92|  A4|                 |
7623|   The1Sgr| 19| 59|44.2|  -| 35| 16| 35| 4.37|  B3|                 |
7633|          | 19| 55|55.4|  +| 58| 50| 46| 4.96|  K5|                 |
7635| 12Gam Sge| 19| 58|45.4|  +| 19| 29| 32| 3.47|  M0|                 |
7650| 62    Sgr| 20| 02|39.5|  -| 27| 42| 35| 4.58|  M4|                 |
7652|          | 20| 03|33.5|  -| 37| 56| 27| 4.77|  K5|                 |
7653| 15    Vul| 20| 01|06.1|  +| 27| 45| 13| 4.64|  A4|                 |
7659|          | 20| 04|19.6|  -| 32| 03| 23| 4.99|  K1|                 |
7665|   Del Pav| 20| 08|43.6|  -| 66| 10| 55| 3.56|  G6|                 |
7673|   Xi  Tel| 20| 07|23.2|  -| 52| 52| 51| 4.94|  M1|                 |
7685| 67Rho Dra| 20| 02|49.1|  +| 67| 52| 25| 4.51|  K3|                 |
7708| 28    Cyg| 20| 09|25.6|  +| 36| 50| 23| 4.93|  B2|                 |
7710| 65The Aql| 20| 11|18.3|  -| 00| 49| 17| 3.23|  B9|                 |
7724| 67Rho Aql| 20| 14|16.6|  +| 15| 11| 51| 4.95|  A2|                 |
7730| 30    Cyg| 20| 13|18.0|  +| 46| 48| 57| 4.83|  A5|                 |
7735| 31    Cyg| 20| 13|37.9|  +| 46| 44| 29| 3.79|  K2|                 |
7736| 29    Cyg| 20| 14|32.0|  +| 36| 48| 23| 4.97|  A2|                 |
7739|          | 20| 15|15.9|  +| 25| 35| 31| 4.78|  B3|                 |
7740| 33    Cyg| 20| 13|23.9|  +| 56| 34| 04| 4.30|  A3|                 |
7744| 23    Vul| 20| 15|46.1|  +| 27| 48| 51| 4.52|  K3|                 |
7747|  5Alp1Cap| 20| 17|38.9|  -| 12| 30| 30| 4.24|  G3|                 |
7750|  1Kap Cep| 20| 08|53.3|  +| 77| 42| 41| 4.39|  B9|                 |
7751| 32    Cyg| 20| 15|28.3|  +| 47| 42| 52| 3.98|  K3|                 |
7754|  6Alp2Cap| 20| 18|03.3|  -| 12| 32| 41| 3.57|  G8|           Algedi|
7763| 34    Cyg| 20| 17|47.2|  +| 38| 01| 59| 4.81|  B2|                 |
7773|  8Nu  Cap| 20| 20|39.8|  -| 12| 45| 33| 4.76|  B9|           Alshat|
7776|  9Bet Cap| 20| 21|00.7|  -| 14| 46| 53| 3.08|  F8|            Dabih|
7790|   Alp Pav| 20| 25|38.9|  -| 56| 44| 06| 1.94|  B2|          Peacock|
7796| 37Gam Cyg| 20| 22|13.7|  +| 40| 15| 24| 2.20|  F8|             Sadr|
7806| 39    Cyg| 20| 23|51.7|  +| 32| 11| 24| 4.43|  K2|                 |
7822| 11Rho Cap| 20| 28|51.6|  -| 17| 48| 49| 4.78|  F2|                 |
7831| 69    Aql| 20| 29|39.0|  -| 02| 53| 08| 4.91|  K2|                 |
7834| 41    Cyg| 20| 29|23.7|  +| 30| 22| 07| 4.01|  F5|                 |
7844| 45Ome1Cyg| 20| 30|03.5|  +| 48| 57| 06| 4.95|  B2|                 |
7848|   Phi1Pav| 20| 35|34.8|  -| 60| 34| 54| 4.76|  F1|                 |
7850|  2The Cep| 20| 29|34.9|  +| 62| 59| 39| 4.22|  A7|                 |
7852|  2Eps Del| 20| 33|12.8|  +| 11| 18| 12| 4.03|  B6|         Aldulfin|
7859|   Rho Pav| 20| 37|35.3|  -| 61| 31| 48| 4.88|  F5|                 |
7866| 47    Cyg| 20| 33|54.2|  +| 35| 15| 03| 4.61|  K2|                 |
7869|   Alp Ind| 20| 37|34.0|  -| 47| 17| 29| 3.11|  K0|                 |
7871|  4Zet Del| 20| 35|18.5|  +| 14| 40| 27| 4.68|  A3|                 |
7873| 70    Aql| 20| 36|43.6|  -| 02| 33| 00| 4.89|  K5|                 |
7882|  6Bet Del| 20| 37|33.0|  +| 14| 35| 43| 3.63|  F5|          Rotanev|
7884| 71    Aql| 20| 38|20.3|  -| 01| 06| 19| 4.32|  G7|                 |
7891| 29    Vul| 20| 38|31.3|  +| 21| 12| 04| 4.82|  A0|                 |
7906|  9Alp Del| 20| 39|38.3|  +| 15| 54| 43| 3.77|  B9|         Sualocin|
7913|   Bet Pav| 20| 44|57.5|  -| 66| 12| 11| 3.42|  A7|                 |
7920|   Eta Ind| 20| 44|02.3|  -| 51| 55| 16| 4.51|  A7|                 |
7924| 50Alp Cyg| 20| 41|25.9|  +| 45| 16| 49| 1.25|  A2|            Deneb|
7928| 11Del Del| 20| 43|27.5|  +| 15| 04| 28| 4.43|  A7|                 |
7936| 16Psi Cap| 20| 46|05.7|  -| 25| 16| 15| 4.14|  F4|                 |
7939| 30    Vul| 20| 44|52.5|  +| 25| 16| 14| 4.91|  K2|                 |
7942| 52    Cyg| 20| 45|39.7|  +| 30| 43| 11| 4.22|  G9|                 |
7948| 12Gam2Del| 20| 46|39.5|  +| 16| 07| 27| 4.27|  K1|                 |
7949| 53Eps Cyg| 20| 46|12.7|  +| 33| 58| 13| 2.46|  K0|          Aljanah|
7950|  2Eps Aqr| 20| 47|40.6|  -| 09| 29| 45| 3.77|  A1|           Albali|
7951|  3    Aqr| 20| 47|44.2|  -| 05| 01| 40| 4.42|  M3|                 |
7952|   Zet Ind| 20| 49|29.0|  -| 46| 13| 37| 4.89|  K5|                 |
7955|          | 20| 45|21.1|  +| 57| 34| 47| 4.51|  F8|                 |
7956|          | 20| 47|10.8|  +| 34| 22| 27| 4.92|  K3|                 |
7957|  3Eta Cep| 20| 45|17.4|  +| 61| 50| 20| 3.43|  K0|                 |
7963| 54Lam Cyg| 20| 47|24.5|  +| 36| 29| 27| 4.53|  B5|                 |
7965|   Alp Mic| 20| 49|58.1|  -| 33| 46| 47| 4.90|  G7|                 |
7977| 55    Cyg| 20| 48|56.3|  +| 46| 06| 51| 4.84|  B3|                 |
7980| 18Ome Cap| 20| 51|49.3|  -| 26| 55| 09| 4.11|  M0|                 |
7986|   Bet Ind| 20| 54|48.6|  -| 58| 27| 15| 3.65|  K1|                 |
7990|  6Mu  Aqr| 20| 52|39.2|  -| 08| 59| 00| 4.73|  A3|                 |
7995| 31    Vul| 20| 52|07.7|  +| 27| 05| 49| 4.59|  G7|                 |
8001| 57    Cyg| 20| 53|14.8|  +| 44| 23| 14| 4.78|  B5|                 |
8028| 58Nu  Cyg| 20| 57|10.4|  +| 41| 10| 02| 3.94|  A1|                 |
8039|   Gam Mic| 21| 01|17.5|  -| 32| 15| 28| 4.67|  G6|                 |
8047| 59    Cyg| 20| 59|49.6|  +| 47| 31| 16| 4.74|  B1|                 |
8060| 22Eta Cap| 21| 04|24.3|  -| 19| 51| 18| 4.84|  A5|                 |
8075| 23The Cap| 21| 05|56.8|  -| 17| 13| 58| 4.07|  A1|                 |
8079| 62Xi  Cyg| 21| 04|55.9|  +| 43| 55| 40| 3.72|  K4|                 |
8080| 24    Cap| 21| 07|07.7|  -| 25| 00| 21| 4.50|  M0|                 |
8089| 63    Cyg| 21| 06|36.1|  +| 47| 38| 54| 4.55|  K4|                 |
8093| 13Nu  Aqr| 21| 09|35.7|  -| 11| 22| 18| 4.51|  G8|                 |
8097|  5Gam Equ| 21| 10|20.5|  +| 10| 07| 54| 4.69|  F0|                 |
8115| 64Zet Cyg| 21| 12|56.2|  +| 30| 13| 37| 3.20|  G8|                 |
8123|  7Del Equ| 21| 14|28.9|  +| 10| 00| 25| 4.49|  F5|                 |
8130| 65Tau Cyg| 21| 14|47.5|  +| 38| 02| 44| 3.72|  F2|                 |
8131|  8Alp Equ| 21| 15|49.4|  +| 05| 14| 52| 3.92|  G0|         Kitalpha|
8135|   Eps Mic| 21| 17|56.3|  -| 32| 10| 21| 4.71|  A1|                 |
8140|   The Ind| 21| 19|52.0|  -| 53| 26| 59| 4.39|  A5|                 |
8143| 67Sig Cyg| 21| 17|25.0|  +| 39| 23| 41| 4.23|  B9|                 |
8146| 66Ups Cyg| 21| 17|55.1|  +| 34| 53| 49| 4.43|  B2|                 |
8151|   The1Mic| 21| 20|45.6|  -| 40| 48| 35| 4.82|  Ap|                 |
8154| 68    Cyg| 21| 18|27.2|  +| 43| 56| 45| 5.00|  O7|                 |
8162|  5Alp Cep| 21| 18|34.8|  +| 62| 35| 08| 2.44|  A7|        Alderamin|
8167| 32Iot Cap| 21| 22|14.8|  -| 16| 50| 04| 4.28|  G7|                 |
8173|  1    Peg| 21| 22|05.2|  +| 19| 48| 16| 4.08|  K1|                 |
8181|   Gam Pav| 21| 26|26.6|  -| 65| 21| 58| 4.22|  F6|                 |
8204| 34Zet Cap| 21| 26|40.0|  -| 22| 24| 41| 3.74|  G4|                 |
8213| 36    Cap| 21| 28|43.4|  -| 21| 48| 26| 4.51|  G5|                 |
8225|  2    Peg| 21| 29|56.9|  +| 23| 38| 20| 4.57|  M1|                 |
8232| 22Bet Aqr| 21| 31|33.5|  -| 05| 34| 16| 2.91|  G0|        Sadalsuud|
8238|  8Bet Cep| 21| 28|39.6|  +| 70| 33| 39| 3.23|  B1|           Alfirk|
8252| 73Rho Cyg| 21| 33|58.9|  +| 45| 35| 31| 4.02|  G8|                 |
8254|   Nu  Oct| 21| 41|28.5|  -| 77| 23| 24| 3.76|  K0|                 |
8255| 72    Cyg| 21| 34|46.6|  +| 38| 32| 03| 4.90|  K0|                 |
8260| 39Eps Cap| 21| 37|04.8|  -| 19| 27| 58| 4.68|  B2|                 |
8264| 23Xi  Aqr| 21| 37|45.1|  -| 07| 51| 15| 4.69|  A7|            Bunda|
8278| 40Gam Cap| 21| 40|05.5|  -| 16| 39| 44| 3.68|  F0|          Nashira|
8279|  9    Cep| 21| 37|55.2|  +| 62| 04| 55| 4.73|  B2|                 |
8288| 43Kap Cap| 21| 42|39.5|  -| 18| 51| 59| 4.73|  G8|                 |
8301| 80Pi 1Cyg| 21| 42|05.7|  +| 51| 11| 23| 4.67|  B3|       Azelfafage|
8305|  9Iot PsA| 21| 44|56.8|  -| 33| 01| 33| 4.34|  A0|                 |
8308|  8Eps Peg| 21| 44|11.2|  +| 09| 52| 30| 2.39|  K2|             Enif|
8309| 78Mu 1Cyg| 21| 44|08.6|  +| 28| 44| 34| 4.73|  F6|                 |
8313|  9    Peg| 21| 44|30.7|  +| 17| 21| 00| 4.34|  G5|                 |
8315| 10Kap Peg| 21| 44|38.7|  +| 25| 38| 42| 4.13|  F5|                 |
8316|   Mu  Cep| 21| 43|30.4|  +| 58| 46| 48| 4.08|  M2|                 |
8317| 11    Cep| 21| 41|55.3|  +| 71| 18| 41| 4.56|  K1|                 |
8322| 49Del Cap| 21| 47|02.4|  -| 16| 07| 38| 2.87|  Am|     Deneb_Algedi|
8334| 10Nu  Cep| 21| 45|26.9|  +| 61| 07| 15| 4.29|  A2|                 |
8335| 81Pi 2Cyg| 21| 46|47.6|  +| 49| 18| 34| 4.23|  B3|                 |
8353|   Gam Gru| 21| 53|55.7|  -| 37| 21| 54| 3.01|  B8|         Aldhanab|
8368|   Del Ind| 21| 57|55.1|  -| 54| 59| 33| 4.40|  F0|                 |
8383|          | 21| 56|39.1|  +| 63| 37| 32| 4.91|  M2|                 |
8387|   Eps Ind| 22| 03|21.6|  -| 56| 47| 10| 4.69|  K4|                 |
8402| 31Omi Aqr| 22| 03|18.9|  -| 02| 09| 19| 4.69|  B7|                 |
8411|   Lam Gru| 22| 06|06.9|  -| 39| 32| 36| 4.46|  K3|                 |
8413| 22Nu  Peg| 22| 05|40.8|  +| 05| 03| 31| 4.84|  K4|                 |
8414| 34Alp Aqr| 22| 05|47.0|  -| 00| 19| 11| 2.96|  G2|       Sadalmelik|
8417| 17Xi  Cep| 22| 03|47.4|  +| 64| 37| 40| 4.29|  A3|           Kurhah|
8418| 33Iot Aqr| 22| 06|26.2|  -| 13| 52| 11| 4.27|  B9|                 |
8425|   Alp Gru| 22| 08|14.0|  -| 46| 57| 40| 1.74|  B7|           Alnair|
8430| 24Iot Peg| 22| 07|00.7|  +| 25| 20| 42| 3.76|  F5|                 |
8431| 14Mu  PsA| 22| 08|23.0|  -| 32| 59| 19| 4.50|  A2|                 |
8433|   Ups PsA| 22| 08|26.0|  -| 34| 02| 38| 4.99|  M1|                 |
8447| 15Tau PsA| 22| 10|08.8|  -| 32| 32| 54| 4.92|  F6|                 |
8450| 26The Peg| 22| 10|12.0|  +| 06| 11| 52| 3.53|  A2|            Biham|
8454| 29Pi 2Peg| 22| 09|59.2|  +| 33| 10| 42| 4.29|  F5|                 |
8465| 21Zet Cep| 22| 10|51.3|  +| 58| 12| 04| 3.35|  K1|                 |
8468| 24    Cep| 22| 09|48.4|  +| 72| 20| 28| 4.79|  G7|                 |
8485|          | 22| 13|52.7|  +| 39| 42| 54| 4.49|  K3|                 |
8486|   Mu 1Gru| 22| 15|36.9|  -| 41| 20| 48| 4.79|  G8|                 |
8494| 23Eps Cep| 22| 15|02.0|  +| 57| 02| 37| 4.19|  F0|                 |
8498|  1    Lac| 22| 15|58.2|  +| 37| 44| 56| 4.13|  K3|                 |
8499| 43The Aqr| 22| 16|50.0|  -| 07| 47| 00| 4.16|  G8|            Ancha|
8502|   Alp Tuc| 22| 18|30.1|  -| 60| 15| 35| 2.86|  K3|                 |
8518| 48Gam Aqr| 22| 21|39.4|  -| 01| 23| 14| 3.84|  A0|        Sadachbia|
8522| 32    Peg| 22| 21|19.3|  +| 28| 19| 50| 4.81|  B9|                 |
8523|  2    Lac| 22| 21|01.6|  +| 46| 32| 12| 4.57|  B6|                 |
8538|  3Bet Lac| 22| 23|33.6|  +| 52| 13| 45| 4.43|  G8|                 |
8539| 52Pi  Aqr| 22| 25|16.6|  +| 01| 22| 39| 4.66|  B1|                 |
8540|   Del Tuc| 22| 27|20.0|  -| 64| 57| 59| 4.48|  B9|                 |
8541|  4    Lac| 22| 24|31.0|  +| 49| 28| 35| 4.57|  B9|                 |
8551| 35    Peg| 22| 27|51.5|  +| 04| 41| 44| 4.79|  K0|                 |
8556|   Del1Gru| 22| 29|16.2|  -| 43| 29| 44| 3.97|  G6|                 |
8558| 55Zet1Aqr| 22| 28|49.7|  -| 00| 01| 13| 4.59|  F6|                 |
8559| 55Zet2Aqr| 22| 28|50.1|  -| 00| 01| 12| 4.42|  F3|                 |
8560|   Del2Gru| 22| 29|45.5|  -| 43| 44| 58| 4.11|  M4|                 |
8571| 27Del Cep| 22| 29|10.3|  +| 58| 24| 55| 3.75|  F5|                 |
8572|  5    Lac| 22| 29|31.8|  +| 47| 42| 25| 4.36|  M0|                 |
8573| 57Sig Aqr| 22| 30|38.8|  -| 10| 40| 41| 4.82|  A0|                 |
8576| 17Bet PsA| 22| 31|30.3|  -| 32| 20| 46| 4.29|  A0|                 |
8579|  6    Lac| 22| 30|29.3|  +| 43| 07| 24| 4.51|  B2|                 |
8582|   Nu  Tuc| 22| 33|00.1|  -| 61| 58| 56| 4.81|  M4|                 |
8585|  7Alp Lac| 22| 31|17.5|  +| 50| 16| 57| 3.77|  A1|                 |
8597| 62Eta Aqr| 22| 35|21.4|  -| 00| 07| 03| 4.02|  B9|                 |
8613|  9    Lac| 22| 37|22.4|  +| 51| 32| 43| 4.63|  A8|                 |
8622| 10    Lac| 22| 39|15.7|  +| 39| 03| 01| 4.88|  O9|                 |
8628| 18Eps PsA| 22| 40|39.4|  -| 27| 02| 37| 4.17|  B8|                 |
8630|   Bet Oct| 22| 46|03.3|  -| 81| 22| 54| 4.15|  A9|                 |
8632| 11    Lac| 22| 40|30.9|  +| 44| 16| 35| 4.46|  K2|                 |
8634| 42Zet Peg| 22| 41|27.7|  +| 10| 49| 53| 3.40|  B8|            Homam|
8636|   Bet Gru| 22| 42|40.1|  -| 46| 53| 05| 2.10|  M5|            Tiaki|
8641| 43Omi Peg| 22| 41|45.4|  +| 29| 18| 27| 4.79|  A1|                 |
8644|   Rho Gru| 22| 43|30.0|  -| 41| 24| 52| 4.85|  K0|                 |
8649| 66    Aqr| 22| 43|35.3|  -| 18| 49| 49| 4.69|  K4|                 |
8650| 44Eta Peg| 22| 43|00.1|  +| 30| 13| 17| 2.94|  G2|            Matar|
8655|   Eta Gru| 22| 45|37.9|  -| 53| 30| 01| 4.85|  K2|                 |
8665| 46Xi  Peg| 22| 46|41.6|  +| 12| 10| 22| 4.19|  F6|                 |
8667| 47Lam Peg| 22| 46|31.9|  +| 23| 33| 56| 3.95|  G8|                 |
8675|   Eps Gru| 22| 48|33.3|  -| 51| 19| 01| 3.49|  A3|                 |
8679| 71Tau2Aqr| 22| 49|35.5|  -| 13| 35| 33| 4.01|  M0|                 |
8684| 48Mu  Peg| 22| 50|00.2|  +| 24| 36| 06| 3.48|  G8|        Sadalbari|
8694| 32Iot Cep| 22| 49|40.8|  +| 66| 12| 02| 3.52|  K0|                 |
8695| 22Gam PsA| 22| 52|31.6|  -| 32| 52| 32| 4.46|  A0|                 |
8698| 73Lam Aqr| 22| 52|36.9|  -| 07| 34| 47| 3.74|  M2|                 |
8699| 15    Lac| 22| 52|02.0|  +| 43| 18| 45| 4.94|  M0|                 |
8702|          | 22| 47|29.0|  +| 83| 09| 14| 4.74|  K3|                 |
8709| 76Del Aqr| 22| 54|39.0|  -| 15| 49| 15| 3.27|  A3|             Skat|
8717| 50Rho Peg| 22| 55|13.7|  +| 08| 48| 57| 4.90|  A1|                 |
8720| 23Del PsA| 22| 55|56.9|  -| 32| 32| 23| 4.21|  G8|                 |
8726|          | 22| 56|26.0|  +| 49| 44| 01| 4.95|  K5|                 |
8728| 24Alp PsA| 22| 57|39.1|  -| 29| 37| 20| 1.16|  A3|        Fomalhaut|
8747|   Zet Gru| 23| 00|52.8|  -| 52| 45| 15| 4.12|  G8|                 |
8748|          | 22| 54|24.8|  +| 84| 20| 46| 4.71|  K4|                 |
8752|          | 23| 00|05.1|  +| 56| 56| 43| 5.00|  G4|                 |
8762|  1Omi And| 23| 01|55.3|  +| 42| 19| 34| 3.62|  B6|                 |
8773|  4Bet Psc| 23| 03|52.6|  +| 03| 49| 12| 4.53|  B6|     Fumalsamakah|
